# Game of the Year Votes
# Reference: https://www.resetera.com/threads/steamera-games-of-the-year-awards-2017.19342/

79 | BlazBlue Centralfiction (Score: 3 | Votes: 1 | APS: 3.00 )
80 | Darkwood (Score: 3 | Votes: 1 | APS: 3.00 )
81 | Finding Paradise (Score: 3 | Votes: 1 | APS: 3.00 )
82 | Hand of Fate 2 (Score: 3 | Votes: 1 | APS: 3.00 )
83 | Injustice 2 (Score: 3 | Votes: 1 | APS: 3.00 )
84 | Stardew Valley (Score: 3 | Votes: 1 | APS: 3.00 )
85 | The End is Nigh (Score: 3 | Votes: 1 | APS: 3.00 )
86 | The Long Dark (Score: 3 | Votes: 1 | APS: 3.00 )
87 | Agents of Mayhem (Score: 3 | Votes: 2 | APS: 1.50 )
88 | Battle Chasers: Nightwar (Score: 3 | Votes: 2 | APS: 1.50 )
89 | Everything (Score: 3 | Votes: 2 | APS: 1.50 )
90 | 東方天空璋 ～ Hidden Star in Four Seasons. (Score: 3 | Votes: 2 | APS: 1.50 )
91 | ARK: Survival Evolved (Score: 2 | Votes: 1 | APS: 2.00 )
92 | Battlerite (Score: 2 | Votes: 1 | APS: 2.00 )
93 | Bleed 2 (Score: 2 | Votes: 1 | APS: 2.00 )
94 | Death Coming (Score: 2 | Votes: 1 | APS: 2.00 )
95 | Friday the 13th: The Game (Score: 2 | Votes: 1 | APS: 2.00 )
96 | Naruto Shippuden: Ultimate Ninja Storm 2 (Score: 2 | Votes: 1 | APS: 2.00 )
97 | Paradigm (Score: 2 | Votes: 1 | APS: 2.00 )
98 | Pictopix (Score: 2 | Votes: 1 | APS: 2.00 )
99 | Rising Storm 2: Vietnam (Score: 2 | Votes: 1 | APS: 2.00 )
100 | Steel Division: Normandy 44 (Score: 2 | Votes: 1 | APS: 2.00 )
101 | Tacoma (Score: 2 | Votes: 1 | APS: 2.00 )
102 | Telltale's Guardians of the Galaxy (Score: 2 | Votes: 1 | APS: 2.00 )
103 | The Darkside Detective (Score: 2 | Votes: 1 | APS: 2.00 )
104 | The Infectious Madness of Doctor Dekker (Score: 2 | Votes: 1 | APS: 2.00 )
105 | To The Top (Score: 2 | Votes: 1 | APS: 2.00 )
106 | Tom Clancy's Ghost Recon Wildlands (Score: 2 | Votes: 1 | APS: 2.00 )
107 | Turok 2 (Score: 2 | Votes: 1 | APS: 2.00 )
108 | VRChat (Score: 2 | Votes: 1 | APS: 2.00 )
109 | West of Loathing (Score: 2 | Votes: 1 | APS: 2.00 )
110 | Detention (Score: 2 | Votes: 2 | APS: 1.00 )
